EXECUTION_TIME_STAMP,TICKER,CURRENT_PRICE,CURR,PRICE_CEILING,STRIKE,PRICE_FLOOR,DTE_STRING_AVG,DEX_AVG,GEX_OI_VOL_AVG,ZONE_OI_VOL_AVG,POWER_OI_VOL_AVG,NEG_NEG_OI_VOL_AVG,GEX_OI_AVG,ZONE_OI_AVG,POWER_OI_AVG,NEG_NEG_OI_AVG,DTE_STRING_AVG0,DEX_AVG0,GEX_OI_VOL_AVG0,ZONE_OI_VOL_AVG0,POWER_OI_VOL_AVG0,NEG_NEG_OI_VOL_AVG0,GEX_OI_AVG0,ZONE_OI_AVG0,POWER_OI_AVG0,NEG_NEG_OI_AVG0,DTE_STRING_0,DEX_0,GEX_OI_VOL_0,ZONE_OI_VOL_0,POWER_OI_VOL_0,NEG_NEG_OI_VOL_0,GEX_OI_0,ZONE_OI_0,POWER_OI_0,NEG_NEG_OI_0,DTE_STRING_1,DEX_1,GEX_OI_VOL_1,ZONE_OI_VOL_1,POWER_OI_VOL_1,NEG_NEG_OI_VOL_1,GEX_OI_1,ZONE_OI_1,POWER_OI_1,NEG_NEG_OI_1,NUMBER_OF_1_TOTAL_AVG,NUMBER_OF_1_TOTAL_AVG_0,NUMBER_OF_M_TOTAL_AVG,NUMBER_OF_M_TOTAL_AVG_0
2026-09-10 15:00:14,IWM,287.48,,329.5,329,0,AVG,0,25,,,329,25,,,329,AVG-0,0,25,,,329,25,,,329,0,0,0,,,329,0,*,,329,1,0,0,,,329,0,,,329,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,328.5,328,0,AVG,0,18,,,328,18,,,328,AVG-0,0,18,,,328,18,,,328,0,0,0,,,328,0,*,,328,1,0,0,,,328,0,,,328,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,327.5,327,0,AVG,0,21,,,327,21,,,327,AVG-0,0,21,,,327,21,,,327,0,0,0,,,327,0,*,,327,1,0,0,,,327,0,,,327,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,326.5,326,0,AVG,0.02174,66,,,326,65,,,326,AVG-0,0.02174,66,,,326,65,,,326,0,0,0,,,326,0,*,,326,1,0,0,,,326,0,,,326,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,325.5,325,0,AVG,-39.90955,1816,,,325,1803,,,325,AVG-0,0.09045,1816,,,325,1803,,,325,0,-40,0,,,325,0,*,,325,1,0.0016,0,,,325,0,,,325,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,324.5,324,0,AVG,-35.99676,184,,,324,184,,,324,AVG-0,0.00324,184,,,324,184,,,324,0,-36,0,,,324,0,*,,324,1,0,0,,,324,0,,,324,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,323.5,323,0,AVG,-12.99477,197,,,323,196,,,323,AVG-0,0.00523,197,,,323,196,,,323,0,-13,0,,,323,0,*,,323,1,0,0,,,323,0,,,323,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,322.5,322,0,AVG,-12.54706,4610,,,322,4539,,,322,AVG-0,-0.54706,4610,,,322,4539,,,322,0,-12,0,,,322,0,*,,322,1,0,0,,,322,0,,,322,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,321.5,321,0,AVG,-19.99691,1242,,,321,1241,,,321,AVG-0,0.00309,1242,,,321,1241,,,321,0,-20,0,,,321,0,*,,321,1,0,0,,,321,0,,,321,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,320.5,320,0,AVG,-18.20967,10830,,,320,10576,,,320,AVG-0,1.79033,10830,,,320,10576,,,320,0,-20,0,,,320,0,*,,320,1,0.00179,0,,,320,0,,,320,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,319.5,319,0,AVG,-11.96199,1380,,,319,1378,,,319,AVG-0,0.03801,1380,,,319,1378,,,319,0,-12,0,,,319,0,*,,319,1,0,0,,,319,0,,,319,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,318.5,318,0,AVG,-31.72616,1092,,,318,1068,,,318,AVG-0,0.27384,1092,,,318,1068,,,318,0,-32,0,,,318,0,*,,318,1,0,0,,,318,0,,,318,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,317.5,317,0,AVG,-14.59218,15674,,,317,15631,,,317,AVG-0,-0.59232,15674,,,317,15631,,,317,0,-13.99986,0,,,317,0,*,,317,1,0.0965,0,,,317,0,,,317,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,316.5,316,0,AVG,-35.903040000000004,1775,,,316,1770,,,316,AVG-0,-21.90318,1775,,,316,1770,,,316,0,-13.99986,0,,,316,0,*,,316,1,0.01188,0,,,316,0,,,316,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,315.5,315,0,AVG,-42.6288,46487,,,315,46050,,,315,AVG-0,-31.62902,46487,,,315,46050,,,315,0,-10.99978,0,,,315,0,*,,315,1,-2.99922,0,,,315,0,,,315,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,314.5,314,0,AVG,-30.8408,2374,,,314,2360,,,314,AVG-0,-18.84128,2374,,,314,2360,,,314,0,-11.99952,0,,,314,0,*,,314,1,0,0,,,314,0,,,314,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,313.5,313,0,AVG,-80.42678,4616,,,313,4243,,,313,AVG-0,-71.4275,4616,,,313,4243,,,313,0,-8.99928,0,,,313,0,*,,313,1,0,0,,,313,0,,,313,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,312.75,312.5,0,AVG,-103.86315,167,,,312.5,154,,,312.5,AVG-0,0.12645,167,,,312.5,154,,,312.5,0,-103.9896,0,,,312.5,0,*,,312.5,1,0,0,,,312.5,0,,,312.5,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,312.25,312,0,AVG,-141.42516,22985,,,312,22510,,,312,AVG-0,-32.43933,22985,,,312,22510,,,312,0,-108.98583,0,,,312,0,*,,312,1,0,0,,,312,0,,,312,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,311.5,311,0,AVG,-133.13763,6367,,,311,6329,,,311,AVG-0,-125.13947,6367,,,311,6329,,,311,0,-7.99816,0,,,311,0,*,,311,1,0,0,,,311,0,,,311,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,310.5,310,0,AVG,-64.95667,91721,,,310,89311,,,310,AVG-0,-56.959790000000005,91721,,,310,89311,,,310,0,-7.99688,0,,,310,0,*,,310,1,-0.99254,0,,,310,0,,,310,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,309.5,309,0,AVG,-38.63002,6151,,,309,5516,,,309,AVG-0,-37.63068,6151,,,309,5516,,,309,0,-0.99934,0,,,309,0,*,,309,1,-31.95816,0,,,309,0,,,309,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,308.5,308,0,AVG,-70.03713,19880,,,308,19268,,,308,AVG-0,-70.03713,19880,,,308,19268,,,308,0,0,0,,,308,0,*,,308,1,0.0462599999999999,0,,,308,0,,,308,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,307.75,307.5,0,AVG,-79.17461,1206,,,307.5,1218,,,307.5,AVG-0,-79.17461,1206,,,307.5,1218,,,307.5,0,0,0,,,307.5,0,*,,307.5,1,0,0,,,307.5,0,,,307.5,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,307.25,307,0,AVG,-25.457600000000003,38678,,,307,36944,,,307,AVG-0,-23.46625,38678,,,307,36944,,,307,0,-1.99135,0,,,307,0,*,,307,1,-14.99535,0,,,307,0,,,307,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,306.5,306,0,AVG,-77.91239000000002,42698,,,306,42030,,,306,AVG-0,-76.92058000000002,42698,,,306,42030,,,306,0,-0.99181,0,,,306,0,*,,306,1,-67.91196000000001,1,,,306,1,,,306,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,305.5,305,0,AVG,-214.60238,115583,,,305,111928,,,305,AVG-0,-213.60523,115583,,,305,111928,,,305,0,-0.99715,0,,,305,0,*,,305,1,-74.78103,1,,,305,1,,,305,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,304.5,304,0,AVG,-330.94177,49697,,,304,47380,,,304,AVG-0,-328.95971,49697,,,304,47380,,,304,0,-1.98206,0,,,304,0,*,,304,1,-323.64908,2,,,304,2,,,304,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,303.5,303,0,AVG,-209.71376,49727,,,303,48195,,,303,AVG-0,-206.73888,49727,,,303,48195,,,303,0,-2.97488,0,,,303,0,*,,303,1,-202.34538,20,,,303,20,,,303,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,302.75,302.5,0,AVG,-111.12005,1975,,,302.5,1799,,,302.5,AVG-0,-111.12005,1975,,,302.5,1799,,,302.5,0,0,0,,,302.5,0,*,,302.5,1,-114.28316,4,,,302.5,3,,,302.5,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,302.25,302,0,AVG,-712.6151299999999,100366,,,302,97720,,,302,AVG-0,-711.6250299999999,100366,,,302,97720,,,302,0,-0.9901,0,,,302,0,*,,302,1,-649.07463,88,,,302,93,,,302,0,0,0,0
2026-09-10 15:00:14,IWM,287.48,,301.5,301,0,AVG,-1022.05809,9559,,,301,3960,,,301,AVG-0,-1020.06507,9559,,,301,3960,,,301,0,-1.99302,0,,,301,0,*,,301,1,-811.19934,135,,,301,156,,,301,0,0,0,0
